scenario,workload,policy,avg_latency_ms_mean,avg_latency_ms_std,overall_hit_rate_mean,overall_hit_rate_std,miss_count_mean,miss_count_std,bytes_moved_mean,bytes_moved_std,eviction_count_mean,eviction_count_std
constrained,chat_continuation,regret_aware_w1.0_h64,0.46647848307291645,0.11084540945381957,0.548828125,0.06474837677441705,231.0,33.15116890850155,2016508.0,335635.357904974,261.6666666666667,51.597803570823956
constrained,chat_continuation,regret_aware_w1.0_h8,0.47580449218750004,0.10787922910482935,0.53125,0.07104114640419223,240.0,36.373066958946424,2095110.0,344051.5715703098,271.6666666666667,51.32575701666107
constrained,chat_continuation,regret_aware_w12.0_h24,0.414833951822917,0.0729847332229159,0.6015625,0.01863162502767472,204.0,9.539392014169456,1749470.6666666667,76341.23699111334,224.0,14.730919862656235
constrained,chat_continuation,regret_aware_w12.0_h64,0.40905784505208403,0.06420670757714222,0.6041666666666666,0.04848840151397249,202.66666666666666,24.826061575153904,1732258.6666666667,141943.71155261985,221.33333333333334,14.294521094927715
constrained,chat_continuation,regret_aware_w12.0_h8,0.4074624348958337,0.06249869371386783,0.6126302083333334,0.02938355233436654,198.33333333333334,15.044378795195682,1695800.6666666667,81794.81573628819,216.66666666666666,9.865765724632492
constrained,chat_continuation,regret_aware_w6.0_h24,0.41953219401041736,0.07112620434311782,0.595703125,0.03812347909363894,207.0,19.519221295943137,1777077.3333333333,135933.01489091356,227.66666666666666,18.44812546936228
constrained,chat_continuation,regret_aware_w6.0_h64,0.421944563802084,0.07571717549476377,0.5950520833333334,0.031331274519572815,207.33333333333334,16.041612554021288,1782450.6666666667,117708.8773939049,228.66666666666666,18.036999011291577
constrained,chat_continuation,regret_aware_w6.0_h8,0.4240534505208337,0.0728964187131145,0.583984375,0.03531863539067407,213.0,18.083141320025124,1827043.3333333333,138304.3629294945,233.66666666666666,20.132891827388665
constrained,periodic_reuse,cost_aware,0.3964815885416677,0.021204253434261064,0.125520833333333,0.058303098563312665,559.6666666666666,37.31398308052002,4588636.666666667,329262.2324551258,554.6666666666666,37.31398308052002
constrained,periodic_reuse,lru,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w1.0_h24,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w1.0_h64,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w1.0_h8,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w12.0_h24,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w12.0_h64,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w12.0_h8,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w6.0_h24,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w6.0_h64,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
constrained,periodic_reuse,regret_aware_w6.0_h8,0.43916317708333336,0.001791679432146986,0.0,0.0,640.0,0.0,5231418.666666667,39419.71614983196,635.0,0.0
medium,adversarial_burst,cost_aware,2.367882005208331,0.04850242628544158,0.088020833333333,0.009547032697824124,583.6666666666666,6.1101009266077995,6885027.333333333,78851.35667401894,1045.3333333333333,11.01514109457223
medium,adversarial_burst,lru,2.477912552083334,0.02803013759053614,0.0,0.0,640.0,0.0,7467396.0,25677.87615828069,1127.6666666666667,3.0550504633038624
medium,adversarial_burst,regret_aware_w1.0_h24,2.358833515624999,0.04245836412165296,0.08958333333333335,0.005022734771350506,582.6666666666666,3.2145502536643242,6863178.0,29882.1815134036,1041.3333333333333,3.214550253664351
medium,adversarial_burst,regret_aware_w1.0_h64,2.337557994791665,0.04871536930028156,0.09322916666666635,0.006505206248331271,580.3333333333334,4.16333199893227,6816603.333333333,11986.691675910262,1032.6666666666667,2.3094010767584865
medium,adversarial_burst,regret_aware_w1.0_h8,2.373512942708331,0.04500703947898867,0.08802083333333267,0.009155414495440753,583.6666666666666,5.859465277082326,6894176.666666667,56742.84650361946,1047.6666666666667,6.429100507328604
medium,adversarial_burst,regret_aware_w12.0_h24,2.3132649999999995,0.030576898736371677,0.08854166666666634,0.0177695021971172,583.3333333333334,11.372481406154666,6789325.333333333,113245.48316526056,1023.3333333333334,16.921386861996083
medium,adversarial_burst,regret_aware_w12.0_h64,2.3164907812499993,0.04778293613838215,0.09374999999999933,0.002706329386826948,580.0,1.7320508075688772,6774941.333333333,23261.662394019437,1023.3333333333334,4.041451884327367
medium,adversarial_burst,regret_aware_w12.0_h8,2.3622193749999973,0.052460172790932416,0.091145833333333,0.004773516348912227,581.6666666666666,3.055050463303881,6865528.0,57047.491829176855,1043.0,10.535653752852738
medium,adversarial_burst,regret_aware_w6.0_h24,2.329334192708332,0.020355774584265143,0.09635416666666634,0.0032526031241652707,578.3333333333334,2.0816659994661486,6781952.666666667,32829.6033685048,1026.6666666666667,8.504900548115415
